
turbo_seti version 2.1.17
blimpy version 2.0.31
h5py version 3.5.0

HDF5 header info: {'DIMENSION_LABELS': array(['time', 'feed_id', 'frequency'], dtype=object), 'az_start': 0.0, 'data_type': 1, 'fch1': 3151.46484375, 'foff': -2.7939677238464355e-06, 'machine_id': 20, 'nbits': 32, 'nchans': 536870912, 'nifs': 1, 'source_name': 'ON_S', 'src_dej': <Angle 60.8686 deg>, 'src_raj': <Angle 2.65636667 hourangle>, 'telescope_id': 6, 'tsamp': 18.253611007999982, 'tstart': 59524.2031712963, 'za_start': 0.0}

Starting ET search with parameters: datafile=/gpfs/group/jtw13/default/gbt_2020/2021/S_band/splice_no_overlap_ordered/spliced_blc0x1x2x_guppi_59524_17554_ON_S_0034.rawspec.0000.h5, max_drift=0.23523575033112856, min_drift=0.0, snr=10.0, out_dir=/gpfs/group/jtw13/default/gbt_2020/2021/S_band/splice_no_overlap_ordered/, coarse_chans=None, flagging=False, n_coarse_chan=512, kernels=None, gpu_id=0, gpu_backend=False, blank_dc=True, precision=1, append_output=False, log_level_int=30, obs_info={'pulsar': 0, 'pulsar_found': 0, 'pulsar_dm': 0.0, 'pulsar_snr': 0.0, 'pulsar_stats': array([0., 0., 0., 0., 0., 0.]), 'RFI_level': 0.0, 'Mean_SEFD': 0.0, 'psrflux_Sens': 0.0, 'SEFDs_val': [0.0], 'SEFDs_freq': [0.0], 'SEFDs_freq_up': [0.0]}

Computed drift rate resolution: 0.00956648975722505

Top hit found! SNR 166.216980, Drift Rate -0.000000, index 37446
Top hit found! SNR 34.547852, Drift Rate -0.000000, index 39209
Top hit found! SNR 22.163424, Drift Rate -0.000000, index 39257
Top hit found! SNR 61.441299, Drift Rate -0.000000, index 40709
Top hit found! SNR 16.392492, Drift Rate -0.000000, index 70428
Top hit found! SNR 61.891499, Drift Rate -0.000000, index 103405
Top hit found! SNR 61.446980, Drift Rate -0.000000, index 136387
Top hit found! SNR 58980.761719, Drift Rate -0.000000, index 169368
Top hit found! SNR 800.525940, Drift Rate -0.000000, index 171171
Top hit found! SNR 909.536804, Drift Rate -0.000000, index 171220
Top hit found! SNR 3245.701172, Drift Rate -0.000000, index 172705
Top hit found! SNR 55.910049, Drift Rate -0.000000, index 202350
Top hit found! SNR 50.311111, Drift Rate -0.000000, index 235332
Top hit found! SNR 111.270859, Drift Rate -0.000000, index 268309
Top hit found! SNR 12.452008, Drift Rate -0.009566, index 270141
Top hit found! SNR 23.783243, Drift Rate -0.000000, index 271701
Top hit found! SNR 155.655365, Drift Rate -0.000000, index 301290
Top hit found! SNR 37.774532, Drift Rate -0.000000, index 303133
Top hit found! SNR 11.070431, Drift Rate -0.000000, index 303183
Top hit found! SNR 42.444714, Drift Rate -0.000000, index 304701
Top hit found! SNR 39.160904, Drift Rate -0.000000, index 334272
Top hit found! SNR 22.066530, Drift Rate -0.000000, index 336125
Top hit found! SNR 13.501055, Drift Rate 0.009566, index 337702
