
turbo_seti version 2.1.17
blimpy version 2.0.31
h5py version 3.5.0

HDF5 header info: {'DIMENSION_LABELS': array(['time', 'feed_id', 'frequency'], dtype=object), 'az_start': 0.0, 'data_type': 1, 'fch1': 3151.46484375, 'foff': -2.7939677238464355e-06, 'machine_id': 20, 'nbits': 32, 'nchans': 536870912, 'nifs': 1, 'source_name': 'ON_S', 'src_dej': <Angle 60.8686 deg>, 'src_raj': <Angle 2.65636667 hourangle>, 'telescope_id': 6, 'tsamp': 18.253611007999982, 'tstart': 59524.2031712963, 'za_start': 0.0}

Starting ET search with parameters: datafile=/gpfs/group/jtw13/default/gbt_2020/2021/S_band/splice_no_overlap_ordered/focused/spliced_blc0x1x2x_guppi_59524_17554_ON_S_0034.rawspec.0000.h5, max_drift=0.21714069261334942, min_drift=0.14476046174223298, snr=10.0, out_dir=/gpfs/group/jtw13/default/gbt_2020/2021/S_band/splice_no_overlap_ordered/focused/, coarse_chans=None, flagging=False, n_coarse_chan=512, kernels=None, gpu_id=0, gpu_backend=False, blank_dc=True, precision=1, append_output=False, log_level_int=30, obs_info={'pulsar': 0, 'pulsar_found': 0, 'pulsar_dm': 0.0, 'pulsar_snr': 0.0, 'pulsar_stats': array([0., 0., 0., 0., 0., 0.]), 'RFI_level': 0.0, 'Mean_SEFD': 0.0, 'psrflux_Sens': 0.0, 'SEFDs_val': [0.0], 'SEFDs_freq': [0.0], 'SEFDs_freq_up': [0.0]}

Computed drift rate resolution: 0.00956648975722505

Top hit found! SNR 64.389229, Drift Rate -0.191330, index 806205
Top hit found! SNR 65.509148, Drift Rate -0.191330, index 806270
Top hit found! SNR 44.906590, Drift Rate -0.181763, index 806397
Top hit found! SNR 34.227211, Drift Rate -0.210463, index 806503
Top hit found! SNR 46.383224, Drift Rate -0.210463, index 806567
Top hit found! SNR 13.898216, Drift Rate -0.172197, index 806848
Top hit found! SNR 14.338217, Drift Rate -0.200896, index 809141
Top hit found! SNR 15.758718, Drift Rate -0.200896, index 809284
Top hit found! SNR 11.204712, Drift Rate -0.200896, index 809332
Top hit found! SNR 16.735962, Drift Rate -0.200896, index 809368
Top hit found! SNR 41.463428, Drift Rate -0.200896, index 809439
Top hit found! SNR 54.589191, Drift Rate -0.200896, index 809499
Top hit found! SNR 58.085926, Drift Rate -0.200896, index 809773
Top hit found! SNR 45.157906, Drift Rate -0.200896, index 809833
Top hit found! SNR 53.244251, Drift Rate -0.200896, index 809964
Top hit found! SNR 32.174431, Drift Rate -0.200896, index 810036
Top hit found! SNR 43.437809, Drift Rate 0.172197, index 810232
Top hit found! SNR 51.070419, Drift Rate -0.200896, index 810417
Top hit found! SNR 78.512276, Drift Rate -0.200896, index 810477
Top hit found! SNR 59.831474, Drift Rate -0.200896, index 810513
Top hit found! SNR 24.671902, Drift Rate 0.210463, index 810642
Top hit found! SNR 30.091173, Drift Rate -0.200896, index 810680
Top hit found! SNR 26.060114, Drift Rate -0.200896, index 810728
