
turbo_seti version 2.1.17
blimpy version 2.0.31
h5py version 3.5.0

HDF5 header info: {'DIMENSION_LABELS': array(['time', 'feed_id', 'frequency'], dtype=object), 'az_start': 0.0, 'data_type': 1, 'fch1': 2251.46484375, 'foff': -2.7939677238464355e-06, 'machine_id': 20, 'nbits': 32, 'nchans': 536870912, 'nifs': 1, 'source_name': 'ON_L', 'src_dej': <Angle 60.8686 deg>, 'src_raj': <Angle 2.65646667 hourangle>, 'telescope_id': 6, 'tsamp': 18.253611007999982, 'tstart': 59524.14275462963, 'za_start': 0.0}

Starting ET search with parameters: datafile=/gpfs/group/jtw13/default/gbt_2020/2021/L_band/splice_no_overlap_ordered/OFF_scan/spliced_blc0x1x2x_guppi_59524_12334_ON_L_0015.rawspec.0000.h5, max_drift=22.515, min_drift=0.0, snr=10.0, out_dir=/gpfs/group/jtw13/default/gbt_2020/2021/L_band/splice_no_overlap_ordered/OFF_scan/, coarse_chans=None, flagging=False, n_coarse_chan=512, kernels=None, gpu_id=0, gpu_backend=False, blank_dc=True, precision=1, append_output=False, log_level_int=30, obs_info={'pulsar': 0, 'pulsar_found': 0, 'pulsar_dm': 0.0, 'pulsar_snr': 0.0, 'pulsar_stats': array([0., 0., 0., 0., 0., 0.]), 'RFI_level': 0.0, 'Mean_SEFD': 0.0, 'psrflux_Sens': 0.0, 'SEFDs_val': [0.0], 'SEFDs_freq': [0.0], 'SEFDs_freq_up': [0.0]}

Computed drift rate resolution: 0.00956648975722505

Top hit found! SNR 11.060479, Drift Rate -0.000000, index 382987
Top hit found! SNR 96.444687, Drift Rate -0.000000, index 524289
Top hit found! SNR 16.299507, Drift Rate -0.000000, index 646836
Top hit found! SNR 683.852295, Drift Rate -0.000000, index 778758
Top hit found! SNR 82.006340, Drift Rate -0.000000, index 784727
Top hit found! SNR 11.131483, Drift Rate -0.000000, index 910680
Top hit found! SNR 20.675226, Drift Rate -0.000000, index 836
Top hit found! SNR 1032.591431, Drift Rate -0.000000, index 389797
Top hit found! SNR 185.166031, Drift Rate -0.000000, index 395808
Top hit found! SNR 93.091217, Drift Rate -0.000000, index 524289
Top hit found! SNR 14.319628, Drift Rate -0.000000, index 613744
Top hit found! SNR 11.410137, Drift Rate -0.000000, index 653641
Top hit found! SNR 11.437105, Drift Rate -0.000000, index 917490
Top hit found! SNR 20.973595, Drift Rate -0.000000, index 836
Top hit found! SNR 93.136185, Drift Rate 0.028699, index 524289
Top hit found! SNR 32.622993, Drift Rate -0.000000, index 660451
Top hit found! SNR 57.201420, Drift Rate -0.000000, index 271490
Top hit found! SNR 86.155197, Drift Rate -0.038266, index 524287
Top hit found! SNR 18.949760, Drift Rate -0.000000, index 931105
Top hit found! SNR 32.471298, Drift Rate -0.000000, index 938104
Top hit found! SNR 84.865868, Drift Rate -0.000000, index 524289
Top hit found! SNR 14.889948, Drift Rate -0.000000, index 549349
Top hit found! SNR 15.110706, Drift Rate -0.009566, index 153183
